w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-6.350458784615384614e-03,1.170551068076923149e-03,8.286326019230768562e-04,2.921936916346153795e-02,5.190480701923076978e-01,-9.782223615384616267e+00,2.457384910000000033e-01,-3.840061250000000037e-02,4.116630250000000157e-01,-9.372307406250000028e+00,2.339937499999999915e+01,9.934903000000000484e-01,-2.590770499999999962e-02,-1.255695000000000032e-03,1.109251299999999968e-01,3.823374999999999690e-02,3.534100600000000120e-02,7.182350000000000106e-04,2.362715999999999983e-01,1.556954999999999867e-01,-1.028082699999999905e+00
-6.609064287499999933e-03,1.176838158958333404e-03,2.098420233333333270e-03,2.733855546458333410e-02,5.145575135416666779e-01,-9.777389968750000548e+00,2.504493159999999774e-01,-3.958235550000000630e-02,4.157222969999999629e-01,-9.281858807692307423e+00,2.340307692307692733e+01,9.934771999999999492e-01,-2.595712000000000019e-02,-1.273850900000000072e-03,1.110305399999999970e-01,4.334402999999999867e-02,3.356159999999999699e-02,4.126514000000000397e-03,2.619779400000000202e-01,1.530068699999999893e-01,-1.024599000000000038e+00
-5.621386733999998719e-03,4.255443295999999931e-04,-1.007119521200000481e-04,4.064085586000001221e-02,5.157739826000000694e-01,-9.784930680000000436e+00,2.489444666666666695e-01,-3.889300555555556121e-02,4.196427788888888455e-01,-9.266992250000001263e+00,2.341428571428571814e+01,9.934563600000000383e-01,-2.592064800000000099e-02,-1.204925799999999976e-03,1.112257499999999982e-01,4.117530600000000179e-02,3.721890600000000299e-02,7.440514999999999759e-04,2.739229200000000142e-01,1.638210700000000131e-01,-1.036995200000000006e+00
-7.524119180769230433e-03,1.655602458653846398e-03,6.004384600961537241e-03,3.168309212884615200e-02,5.188071440576922377e-01,-9.782550750000000406e+00,2.475050510000000314e-01,-3.780974139999999928e-02,4.225918169999999807e-01,-9.397850000000000037e+00,2.342200000000000770e+01,9.934465999999999575e-01,-2.599210100000000009e-02,-1.211370000000000025e-03,1.112960900000000003e-01,4.323791700000000071e-02,2.671549700000000124e-02,-2.315339599999999796e-03,2.937834599999999963e-01,1.463215499999999947e-01,-1.048071100000000033e+00
-2.729318465999998138e-04,-5.254370102000000854e-03,-5.007923664000000011e-03,2.044261904000000199e-02,5.045369680000000301e-01,-9.778533830000000648e+00,2.535244377777777780e-01,-3.823648166666666903e-02,4.161733188888889212e-01,-9.106565500000000313e+00,2.343000000000000327e+01,9.935100000000000042e-01,-2.596912700000000157e-02,-1.354620699999999978e-03,1.107324400000000014e-01,5.100501699999999972e-02,2.909390800000000166e-02,1.258409700000000069e-03,3.201807700000000034e-01,1.510655700000000101e-01,-1.040211299999999950e+00
-5.231105112599999420e-03,1.085183139999999855e-03,2.895035439999999773e-04,1.797541877999999857e-02,5.081963565999999544e-01,-9.787144630000000234e+00,2.512344511111110901e-01,-3.725169722222222701e-02,4.127038677777777886e-01,-9.183947749999999743e+00,2.343714214285714093e+01,9.934783600000000048e-01,-2.537594699999999939e-02,-1.699582299999999931e-03,1.111488939999999981e-01,5.236552700000000199e-02,3.241541199999999762e-02,-3.694834699999999944e-03,3.389587399999999806e-01,1.557597400000000076e-01,-1.073373399999999922e+00
-7.932916785294116119e-03,1.973084549372548704e-03,1.299809539019607671e-03,1.350727713725490171e-02,5.158779895686274042e-01,-9.784343637254902859e+00,2.525103029999999915e-01,-3.721887050000000086e-02,4.129120370000000095e-01,-9.270666333333332787e+00,2.343999900000000025e+01,9.934404999999999486e-01,-2.531493300000000127e-02,-1.752403899999999907e-03,1.114992900000000009e-01,4.812206299999999964e-02,3.418083999999999706e-02,-4.838851299999999585e-03,3.470831999999999806e-01,1.649827700000000008e-01,-1.074274100000000010e+00
-7.238507130600000360e-03,1.970593300000000186e-03,-1.061354656000000282e-04,2.048140268000000000e-02,5.037702502400001059e-01,-9.784275020000000822e+00,2.495660330000000759e-01,-3.692343499999999751e-02,4.119752859999999961e-01,-9.242833678571427569e+00,2.344428471428571115e+01,9.934471999999999747e-01,-2.528572299999999953e-02,-1.634482399999999955e-03,1.114488599999999968e-01,4.595025600000000182e-02,3.591406999999999933e-02,-6.021357599999999956e-03,3.566978000000000093e-01,1.720734499999999889e-01,-1.088783499999999904e+00
-4.646312119999999185e-03,4.131255900000003253e-04,1.814515881200000173e-03,6.239292900000002057e-03,5.103046951999999914e-01,-9.762288650000000345e+00,2.525430099999999567e-01,-3.659517333333333483e-02,4.158263844444444746e-01,-9.426663785714286092e+00,2.344999899999999471e+01,9.934353999999999685e-01,-2.547255199999999900e-02,-1.564784899999999927e-03,1.115118040000000060e-01,4.458784999999999832e-02,3.411691299999999871e-02,-7.448660000000000177e-03,3.690608400000000011e-01,1.680871499999999907e-01,-1.094710000000000072e+00
7.810140046730770780e-02,-6.010578328461538972e-02,-2.518442676442307973e-02,4.305484896153845276e-02,3.814197337115384778e-01,-1.131818012499999959e+01,2.469162020000000290e-01,-3.810517749999999676e-02,4.238408249999999766e-01,-8.499461146666666522e+00,2.345733306666665996e+01,9.934435999999999822e-01,-2.545760999999999857e-02,-1.581357700000000054e-03,1.114419549999999953e-01,4.884059999999999790e-02,2.815756399999999951e-02,-7.943486999999999727e-04,3.911258000000000234e-01,1.565751999999999977e-01,-1.083898500000000098e+00
1.389516054166666653e-02,8.531454575000001206e-02,-8.150282741666665942e-02,7.350219593750001446e-02,3.459250159999999741e-01,-1.521351817708333520e+01,2.512344444444444824e-01,-2.609079233333333470e-02,4.300511622222222274e-01,-7.803785776923077400e+00,2.345999999999999730e+01,9.940529000000000170e-01,-1.403104999999999977e-02,-6.874177000000000412e-03,1.077723099999999962e-01,8.654398500000000383e-02,-1.620679899999999960e-03,-5.357629000000000419e-01,4.121504999999999752e-01,1.567360499999999879e-01,-1.235603000000000007e+00
1.672348912199999801e-02,-2.626992695580000481e-01,-9.150933142000000631e-02,2.936574262440000416e-01,3.777423832799998715e-01,-1.425156699999999788e+01,2.509073133333333261e-01,-1.985381699999999930e-02,4.349083933333333096e-01,-9.209364399999998341e+00,2.346400000000000219e+01,9.949776000000000176e-01,-1.144061499999999947e-02,5.584084399999999712e-03,9.928560999999999637e-02,6.780682500000000112e-02,-9.887332999999999886e-03,-1.638058100000000072e+00,3.738655399999999962e-01,1.136587559999999997e-01,-1.561285899999999893e+00
