timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
155317018,-0.006464933,-0.012719997,0.08232856,4017,0,0.002662307,0.24521944,-9.601975,4017
155321002,-0.030677747,-0.034573615,0.09630938,3984,0,-0.2069108,0.6636805,-9.7439995,3984
155325000,-0.018397836,-0.015849339,0.10466724,3998,0,-0.285501,0.44820637,-10.059857,3998
155329801,-0.015075372,-0.011033393,0.105577886,4801,0,-0.065551385,0.3462595,-9.95267,4801
155333801,-0.0105954725,-0.020101016,0.10068902,4000,0,-0.16161795,0.20580722,-10.124697,4000
155338599,-0.0139757255,-0.012010516,0.085087754,4798,0,-0.100341715,0.0867308,-9.79539,4798
155342600,-0.009404575,-0.014475636,0.06299607,4001,0,-0.20223548,-0.1179323,-9.832687,4001
155346600,-0.010744603,-0.008207494,0.032476023,4000,0,-0.029337585,-0.14311744,-9.635413,4000
155350600,0.00032390977,-0.0043859263,0.004998784,4000,0,-0.22816107,-0.0004322186,-9.452914,4000
155354602,0.016422246,0.010077161,-0.02097468,4002,0,-0.017322773,-0.12884074,-9.617681,4002
155358600,0.006493422,-0.0018425458,-0.044513017,3998,0,-0.035987675,0.39950454,-9.628023,3998
155362600,0.00563895,-0.003344188,-0.061846253,4000,0,-0.106139734,0.21136656,-10.122893,4000
155366600,0.0025409115,0.00696678,-0.083074264,4000,0,-0.055030163,0.9027676,-10.195856,4000
155370612,0.012630697,0.028058462,-0.091054454,4012,0,-0.24126145,0.30243668,-10.058643,4012
155374600,0.0016701252,0.028024921,-0.083919086,3988,0,0.050117474,0.38759995,-9.475395,3988
155378601,0.005414346,-0.014300034,-0.07770716,4001,0,-0.5237963,0.51068705,-9.886206,4001
155382600,-0.005796703,0.008137847,-0.06440611,3999,0,-0.2885499,0.30487606,-10.049457,3999
155386600,0.0037329108,0.0016661836,-0.054479156,4000,0,-0.36140782,0.68564266,-10.047169,4000
155390600,-0.0062853866,0.021767875,-0.03439006,4000,0,-0.5880629,-0.041545957,-9.733104,4000
155394600,-0.02330087,-0.01606729,-0.011582603,4000,0,-0.14669575,0.29885402,-9.488909,4000
155398600,0.017290678,-0.038458686,0.003919498,4000,0,-0.8729894,0.5596713,-10.370775,4000
155402600,0.0021745572,0.0072127595,0.017933179,4000,0,0.14384978,0.71320176,-10.085424,4000
155406600,0.0058082948,-0.0052189627,0.029258683,4000,0,-0.6790853,1.0657448,-9.855846,4000
155410601,0.010342476,0.024046138,0.054487675,4001,0,0.06428127,-0.5959582,-9.378704,4001
155414600,-0.058944855,-0.055410575,0.06693811,3999,0,0.07961023,1.3852463,-9.386495,3999
